epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,1574.34,0.28885,0.29429,0.79031,0.99974,1,0.995,0.97822,0.25199,0.2729,0.80384,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,1616.45,0.28069,0.28754,0.79358,0.99961,1,0.995,0.97596,0.25409,0.27353,0.79988,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,1653.97,0.28759,0.28285,0.79751,0.99968,1,0.995,0.97666,0.25063,0.27511,0.80168,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,1696.01,0.28067,0.28498,0.79408,0.99967,1,0.995,0.97277,0.26276,0.27005,0.80389,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,1735.12,0.27389,0.27696,0.78857,0.99966,1,0.995,0.97861,0.23774,0.26595,0.80333,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,1769.47,0.28265,0.28658,0.79379,0.99959,1,0.995,0.98269,0.23762,0.25856,0.80198,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,1810.32,0.28591,0.28074,0.79359,0.9997,1,0.995,0.98201,0.23623,0.2578,0.80309,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,1859.47,0.28658,0.27733,0.79935,0.99976,0.89243,0.89747,0.88465,0.23096,0.24815,0.80029,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,1891.59,0.27489,0.27188,0.79158,0.99968,1,0.995,0.98074,0.23158,0.2498,0.80084,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,1928.43,0.26565,0.26922,0.79934,0.99969,1,0.995,0.98132,0.23693,0.25112,0.79968,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
